variable,q1,q3,iqr,lower_fence,upper_fence,n_outliers,pct_outliers
AirTC_C,27.28,36.15,8.869999999999997,13.975000000000005,49.455,0,0.0
RH_pct,28.45,80.9,52.45,-50.22500000000001,159.57500000000002,0,0.0
WS_ms,1.76,4.92,3.16,-2.9800000000000004,9.66,102,0.1344422623205789
WindDir_deg,204.0,287.0,83.0,79.5,411.5,15160,19.981810752744863
BP_mbar,983.0,985.0,2.0,980.0,988.0,0,0.0
