variable,n,mean,median,min,max,std,variance,coefficient_of_variation_pct,skewness,kurtosis,p05,p25,p50,p75,p95
AirTC_C,75869,31.74988783297526,31.17,26.01,38.71,4.380289512369837,19.18693621217718,13.796236180149563,0.1347856836676373,-1.6138605973459779,26.29,27.28,31.17,36.15,38.03
RH_pct,75869,50.82399715298739,45.38,21.1,86.2,23.602476550681114,557.0768993254519,46.439630632817675,0.31193308478324483,-1.4701057489168954,22.54,28.45,45.38,80.9,84.8
WS_ms,75869,3.4362710725065577,3.2,0.01,12.74,2.0332427489603284,4.1340760761997535,59.17003362244054,0.45476667117732733,-0.5384394286358605,0.58,1.76,3.2,4.92,7.03
WindDir_deg,75869,227.50484387562773,272.0,0.0,359.0,103.1493578412621,10639.79002306474,45.33941171716403,-1.0871065030838492,-0.4005564861093647,24.0,204.0,272.0,287.0,336.0
BP_mbar,75869,984.3360924751875,984.0,983.0,986.0,1.0944904004919584,1.1979092367690476,0.11119072122406684,0.2539052169505286,-1.2411731599947284,983.0,983.0,984.0,985.0,986.0
