bin_lower_ms,bin_upper_ms,count,frequency_pct,cumulative_pct
0.0,0.5,28142,6.677122160823216,6.677122160823216
0.5,1.0,51763,12.281567564874285,18.9586897256975
1.0,1.5,42666,10.123164455748821,29.08185418144632
1.5,2.0,38287,9.084179382113513,38.166033563559836
2.0,2.5,32602,7.735325729768975,45.90135929332881
2.5,3.0,31009,7.3573619886634605,53.25872128199227
3.0,3.5,30920,7.336245370359386,60.59496665235166
3.5,4.0,29982,7.113690449356892,67.70865710170855
4.0,4.5,28558,6.775824556491699,74.48448165820025
4.5,5.0,26471,6.280651720529861,80.76513337873011
5.0,5.5,22584,5.35840121100247,86.12353458973257
5.5,6.0,18069,4.287148046475542,90.41068263620812
6.0,6.5,13871,3.291108005570991,93.70179064177911
6.5,7.0,9928,2.355570635088227,96.05736127686734
7.0,7.5,6707,1.5913388647800906,97.64870014164742
7.5,8.0,4348,1.0316298470350131,98.68032998868244
8.0,8.5,2655,0.6299395685091905,99.31026955719163
8.5,9.0,1462,0.34688197708491014,99.65715153427654
9.0,9.5,750,0.17794903065231368,99.83510056492885
9.5,10.0,397,0.09419435355862471,99.92929491848749
10.0,10.5,162,0.03843699062089976,99.96773190910838
10.5,11.0,85,0.02016755680726222,99.98789946591565
11.0,11.5,33,0.007829757348701803,99.99572922326435
11.5,12.0,12,0.002847184490437019,99.99857640775478
12.0,12.5,2,0.00047453074840616985,99.99905093850319
12.5,13.0,2,0.00047453074840616985,99.9995254692516
13.0,13.5,1,0.00023726537420308493,99.99976273462579
13.5,14.0,1,0.00023726537420308493,100.0
14.0,14.5,0,0.0,100.0
14.5,15.0,0,0.0,100.0
