variable,n,mean,median,min,max,std,variance,coefficient_of_variation_pct,skewness,kurtosis,p05,p25,p50,p75,p95
AirTC_C,421469,29.32018556524916,28.56,21.39,38.71,4.218511201615692,17.795836758157066,14.387737049712095,0.27718371281784565,-1.1563281879102316,23.38,25.63,28.56,33.15,36.46
RH_pct,421469,53.6696069461811,50.46,21.1,87.8,20.462116543015952,418.6982134199671,38.12607862683807,0.18818080331627582,-1.3435117714846625,25.92,34.79,50.46,74.29,84.7
WS_ms,421469,3.0602962258196924,2.77,0.0,13.68,2.0447787531597723,4.181120149373633,66.81636685716866,0.5778265557651506,-0.40747066639213037,0.42,1.28,2.77,4.54,6.75
WindDir_deg,421469,229.5913839452012,269.0,0.0,359.0,88.53119130860284,7837.771834520436,38.56032826115698,-1.1269383268839306,-0.0079196464263247,43.0,183.0,269.0,286.0,320.0
BP_mbar,421469,985.2263748935271,985.0,983.0,990.0,1.564406805443922,2.4473686529192573,0.1587865332587129,0.8747476457149381,0.5272878119048068,983.0,984.0,985.0,986.0,989.0
