variable,q1,q3,iqr,lower_fence,upper_fence,n_outliers,pct_outliers
AirTC_C,25.63,33.15,7.52,14.35,44.43,0,0.0
RH_pct,34.79,74.29,39.50000000000001,-24.460000000000015,133.54000000000002,0,0.0
WS_ms,1.28,4.54,3.26,-3.6099999999999994,9.43,751,0.17818629602651678
WindDir_deg,183.0,286.0,103.0,28.5,440.5,12286,2.9150423874591014
BP_mbar,984.0,986.0,2.0,981.0,989.0,4467,1.0598644265651804
