Timestamp,WS_ms,variable,WindDir_deg,BP_mbar
2026-07-08 12:04:11,9.36,WS_ms,,
2026-07-08 12:04:12,9.39,WS_ms,,
2026-07-08 12:04:13,10.76,WS_ms,,
2026-07-08 12:04:14,9.79,WS_ms,,
2026-07-08 12:04:15,11.74,WS_ms,,
2026-07-08 12:04:16,10.95,WS_ms,,
2026-07-08 12:04:17,11.69,WS_ms,,
2026-07-08 12:04:18,11.51,WS_ms,,
2026-07-08 12:04:19,10.43,WS_ms,,
2026-07-08 12:04:20,14.16,WS_ms,,
2026-07-08 12:04:21,10.07,WS_ms,,
2026-07-08 12:04:22,11.74,WS_ms,,
2026-07-08 12:04:23,11.13,WS_ms,,
2026-07-08 12:04:24,10.12,WS_ms,,
2026-07-08 12:04:25,11.86,WS_ms,,
2026-07-08 12:04:26,11.47,WS_ms,,
2026-07-08 12:04:27,11.98,WS_ms,,
2026-07-08 12:04:28,10.35,WS_ms,,
2026-07-08 12:04:29,10.29,WS_ms,,
2026-07-08 12:04:30,9.28,WS_ms,,
2026-07-08 12:04:33,9.09,WS_ms,,
2026-07-08 12:04:34,10.46,WS_ms,,
2026-07-08 12:04:35,9.95,WS_ms,,
2026-07-08 12:04:36,9.83,WS_ms,,
2026-07-08 12:04:37,8.49,WS_ms,,
2026-07-08 12:04:46,10.44,WS_ms,,
2026-07-08 12:04:47,9.26,WS_ms,,
2026-07-08 12:04:48,8.64,WS_ms,,
2026-07-08 12:04:52,10.84,WS_ms,,
2026-07-08 12:04:53,10.08,WS_ms,,
2026-07-08 12:04:54,11.11,WS_ms,,
2026-07-08 12:04:55,11.07,WS_ms,,
2026-07-08 12:04:56,10.53,WS_ms,,
2026-07-08 12:04:57,9.17,WS_ms,,
2026-07-08 12:04:58,9.23,WS_ms,,
2026-07-08 12:04:59,8.6,WS_ms,,
2026-07-08 12:05:00,8.81,WS_ms,,
2026-07-08 12:05:01,8.57,WS_ms,,
2026-07-08 12:05:02,8.86,WS_ms,,
2026-07-08 12:05:04,10.8,WS_ms,,
2026-07-08 12:05:07,8.38,WS_ms,,
2026-07-08 12:05:12,8.76,WS_ms,,
2026-07-08 12:05:15,9.33,WS_ms,,
2026-07-08 12:05:18,8.4,WS_ms,,
2026-07-08 12:05:36,8.79,WS_ms,,
2026-07-08 12:06:38,8.59,WS_ms,,
2026-07-08 12:07:10,8.48,WS_ms,,
2026-07-08 12:07:51,8.87,WS_ms,,
2026-07-08 12:07:53,8.77,WS_ms,,
2026-07-08 12:07:54,9.47,WS_ms,,
2026-07-08 12:07:56,9.97,WS_ms,,
2026-07-08 12:07:57,8.3,WS_ms,,
2026-07-08 12:08:02,9.82,WS_ms,,
2026-07-08 12:08:04,11.22,WS_ms,,
2026-07-08 12:08:05,10.68,WS_ms,,
2026-07-08 12:08:06,9.29,WS_ms,,
2026-07-08 12:08:07,10.49,WS_ms,,
2026-07-08 12:08:08,10.04,WS_ms,,
2026-07-08 12:08:09,10.09,WS_ms,,
2026-07-08 12:08:10,9.63,WS_ms,,
2026-07-08 12:08:11,9.63,WS_ms,,
2026-07-08 12:08:12,8.9,WS_ms,,
2026-07-08 12:08:13,8.94,WS_ms,,
2026-07-08 12:08:19,9.38,WS_ms,,
2026-07-08 12:08:21,9.2,WS_ms,,
2026-07-08 12:08:22,8.58,WS_ms,,
2026-07-08 12:08:24,8.41,WS_ms,,
2026-07-08 12:08:40,8.33,WS_ms,,
2026-07-08 12:10:44,9.48,WS_ms,,
2026-07-08 12:10:57,8.95,WS_ms,,
2026-07-08 12:11:15,9.21,WS_ms,,
2026-07-08 12:11:17,8.61,WS_ms,,
2026-07-08 12:11:19,8.54,WS_ms,,
2026-07-08 12:11:20,9.13,WS_ms,,
2026-07-08 12:11:21,8.57,WS_ms,,
2026-07-08 12:11:57,8.84,WS_ms,,
2026-07-08 12:11:58,8.36,WS_ms,,
