variable,q1,q3,iqr,lower_fence,upper_fence,n_outliers,pct_outliers
AirTC_C,25.15,32.12,6.969999999999999,14.695,42.574999999999996,0,0.0
RH_pct,44.74,76.39,31.65,-2.7349999999999923,123.865,0,0.0
WS_ms,1.24,4.05,2.8099999999999996,-2.9749999999999996,8.265,1157,0.6695601851851852
WindDir_deg,209.0,283.0,74.0,98.0,394.0,17405,10.072337962962964
BP_mbar,984.0,985.0,1.0,982.5,986.5,2,0.0011574074074074073
