variable,n,mean,median,min,max,std,variance,coefficient_of_variation_pct,skewness,kurtosis,p05,p25,p50,p75,p95
AirTC_C,172800,28.511750925925924,27.68,22.77,36.27,3.7095567166252215,13.760811033859294,13.010624027485092,0.23496716027311207,-1.4078037537161288,23.77,25.15,27.68,32.12,34.41
RH_pct,172800,59.000980902777776,56.445,29.76,85.9,17.14429026991044,293.92668885894574,29.05763600466392,0.019160604916708984,-1.4593004053193193,33.64,44.74,56.445,76.39,83.9
WS_ms,172800,2.814274074074074,2.47,0.0,14.16,1.8986424453588444,3.6048431353182124,67.46473141509921,0.7747988635191092,0.11253542074246159,0.42,1.24,2.47,4.05,6.4
WindDir_deg,172800,233.77452546296297,266.0,0.0,359.0,77.97362916886391,6079.886845763504,33.35420273635303,-1.2890563148569762,0.7107709511288487,58.0,209.0,266.0,283.0,310.0
BP_mbar,172800,984.318119212963,984.0,983.0,1011.0,0.7729522910308382,0.5974552442098215,0.07852667505997676,0.6668851445642824,13.022039987565947,983.0,984.0,984.0,985.0,986.0
