bin_lower_ms,bin_upper_ms,count,frequency_pct,cumulative_pct
0.0,0.5,11085,6.414930555555555,6.414930555555555
0.5,1.0,21458,12.417824074074074,18.83275462962963
1.0,1.5,20554,11.894675925925926,30.727430555555557
1.5,2.0,18468,10.6875,41.41493055555556
2.0,2.5,15609,9.03298611111111,50.447916666666664
2.5,3.0,14746,8.533564814814815,58.98148148148148
3.0,3.5,13939,8.066550925925926,67.0480324074074
3.5,4.0,12532,7.252314814814815,74.30034722222223
4.0,4.5,10635,6.154513888888889,80.45486111111111
4.5,5.0,9116,5.275462962962963,85.73032407407408
5.0,5.5,7142,4.133101851851852,89.86342592592592
5.5,6.0,5510,3.1886574074074074,93.05208333333333
6.0,6.5,3999,2.314236111111111,95.36631944444444
6.5,7.0,2999,1.7355324074074074,97.10185185185185
7.0,7.5,2025,1.171875,98.27372685185185
7.5,8.0,1325,0.7667824074074074,99.04050925925925
8.0,8.5,776,0.44907407407407407,99.48958333333333
8.5,9.0,435,0.2517361111111111,99.74131944444444
9.0,9.5,201,0.11631944444444445,99.85763888888889
9.5,10.0,107,0.061921296296296294,99.91956018518519
10.0,10.5,70,0.04050925925925926,99.96006944444444
10.5,11.0,31,0.017939814814814815,99.97800925925925
11.0,11.5,22,0.01273148148148148,99.99074074074075
11.5,12.0,14,0.008101851851851851,99.9988425925926
12.0,12.5,1,0.0005787037037037037,99.99942129629629
12.5,13.0,0,0.0,99.99942129629629
13.0,13.5,0,0.0,99.99942129629629
13.5,14.0,0,0.0,99.99942129629629
14.0,14.5,1,0.0005787037037037037,100.0
14.5,15.0,0,0.0,100.0
