beaufort_force,description,speed_lower_ms,speed_upper_ms,count,frequency_pct
0,Calm,0.0,0.3,3080,1.7824074074074074
1,Light air,0.3,1.6,43644,25.256944444444443
2,Light breeze,1.6,3.4,56830,32.88773148148148
3,Gentle breeze,3.4,5.5,44091,25.515625
4,Moderate breeze,5.5,8.0,22005,12.734375
5,Fresh breeze,8.0,10.8,3116,1.8032407407407407
6,Strong breeze,10.8,13.9,34,0.019675925925925927
7,Near gale,13.9,17.2,0,0.0
8,Gale,17.2,20.8,0,0.0
9,Strong gale,20.8,24.5,0,0.0
10,Storm,24.5,28.5,0,0.0
11,Violent storm,28.5,32.7,0,0.0
12,Hurricane,32.7,,0,0.0
