Timestamp,mean,std,count
2026-07-01 00:00:00,3.740411111111111,0.8412486900954204,3600
2026-07-01 01:00:00,3.411363888888889,0.8058705145837692,3600
2026-07-01 02:00:00,2.885925,0.8761074712187502,3600
2026-07-01 03:00:00,2.168586111111111,0.6353794164618882,3600
2026-07-01 04:00:00,1.690325,0.7201362363294093,3600
2026-07-01 05:00:00,1.7125888888888887,0.8304283169855456,3600
2026-07-01 06:00:00,2.4239083333333333,0.9578298311715285,3600
2026-07-01 07:00:00,2.086613888888889,1.0224967159468685,3600
2026-07-01 08:00:00,3.0678944444444443,1.2890052769580933,3600
2026-07-01 09:00:00,2.8455194444444447,1.1477841498941477,3600
2026-07-01 10:00:00,4.448241666666667,1.766461871564935,3600
2026-07-01 11:00:00,5.851886111111112,1.837523936920755,3600
2026-07-01 12:00:00,5.564155555555556,1.795470732770002,3600
2026-07-01 13:00:00,5.165127777777777,1.7636250951676617,3600
2026-07-01 14:00:00,5.048033333333333,1.6673771171156047,3600
2026-07-01 15:00:00,5.3788,1.677396136360551,3600
2026-07-01 16:00:00,5.795433333333333,1.7294822469329494,3600
2026-07-01 17:00:00,5.830511111111111,1.7074290267856802,3600
2026-07-01 18:00:00,5.0171222222222225,1.5128315105384966,3600
2026-07-01 19:00:00,5.00165,1.460188358192322,3600
2026-07-01 20:00:00,4.4709666666666665,1.362413892040852,3600
2026-07-01 21:00:00,3.156502777777778,1.1484506481999954,3600
2026-07-01 22:00:00,3.4448722222222226,1.0178053553498227,3600
2026-07-01 23:00:00,2.8544416666666668,1.0894683743164493,3600
2026-07-02 00:00:00,1.643286111111111,0.6358433861409878,3600
2026-07-02 01:00:00,1.201063888888889,0.3817299594781622,3600
2026-07-02 02:00:00,1.1266444444444446,0.5014761385722614,3600
2026-07-02 03:00:00,0.7068916666666667,0.4063770348540805,3600
2026-07-02 04:00:00,0.6294138888888888,0.403536555227294,3600
2026-07-02 05:00:00,0.9357277777777777,0.5694713900935654,3600
2026-07-02 06:00:00,1.0244805555555556,0.5980061872679955,3600
2026-07-02 07:00:00,1.3067833333333334,0.7728168168805983,3600
2026-07-02 08:00:00,1.446125,0.8127859607492671,3600
2026-07-02 09:00:00,1.8347027777777778,1.097596186541923,3600
2026-07-02 10:00:00,1.4392888888888888,0.856878576327755,3600
2026-07-02 11:00:00,1.3238083333333333,0.8930785515173492,3600
2026-07-02 12:00:00,3.2238694444444445,2.010089789288023,3600
2026-07-02 13:00:00,5.914830555555556,1.9808499061843312,3600
2026-07-02 14:00:00,5.451380555555556,1.723761051918726,3600
2026-07-02 15:00:00,4.777419444444444,1.458391944889207,3600
2026-07-02 16:00:00,4.539244444444445,1.1910893751786593,3600
2026-07-02 17:00:00,4.343752777777778,1.2815763555012107,3600
2026-07-02 18:00:00,2.775086111111111,1.0374934760194268,3600
2026-07-02 19:00:00,3.5683916666666664,1.173462540481033,3600
2026-07-02 20:00:00,3.159866666666667,1.0294194211011134,3600
2026-07-02 21:00:00,2.1807444444444446,0.7816020063137356,3600
2026-07-02 22:00:00,1.8980055555555555,0.618748137852863,3600
2026-07-02 23:00:00,1.3651055555555556,0.5290672799253979,3600
