Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
10–12 m/s,FIDAS 200,0.1037,,0
10–12 m/s,FIDAS 200,0.11,,0
10–12 m/s,FIDAS 200,0.1198,,0
10–12 m/s,FIDAS 200,0.1287,,0
10–12 m/s,FIDAS 200,0.1383,,0
10–12 m/s,FIDAS 200,0.1486,,0
10–12 m/s,FIDAS 200,0.1597,,0
10–12 m/s,FIDAS 200,0.1717,,0
10–12 m/s,FIDAS 200,0.1845,,0
10–12 m/s,FIDAS 200,0.1982,,0
10–12 m/s,FIDAS 200,0.213,,0
10–12 m/s,FIDAS 200,0.2289,,0
10–12 m/s,FIDAS 200,0.246,,0
10–12 m/s,FIDAS 200,0.2643,,0
10–12 m/s,FIDAS 200,0.2841,,0
10–12 m/s,FIDAS 200,0.3053,,0
10–12 m/s,FIDAS 200,0.328,,0
10–12 m/s,FIDAS 200,0.3525,,0
10–12 m/s,FIDAS 200,0.3788,,0
10–12 m/s,FIDAS 200,0.4071,,0
10–12 m/s,FIDAS 200,0.4374,,0
10–12 m/s,FIDAS 200,0.4701,,0
10–12 m/s,FIDAS 200,0.5051,,0
10–12 m/s,FIDAS 200,0.5428,,0
10–12 m/s,FIDAS 200,0.5833,,0
10–12 m/s,FIDAS 200,0.6268,,0
10–12 m/s,FIDAS 200,0.6736,,0
10–12 m/s,FIDAS 200,0.7239,,0
10–12 m/s,FIDAS 200,0.7779,,0
10–12 m/s,FIDAS 200,0.8359,,0
10–12 m/s,FIDAS 200,0.8983,,0
10–12 m/s,FIDAS 200,0.9653,,0
10–12 m/s,FIDAS 200,1.0373,,0
10–12 m/s,FIDAS 200,1.1147,,0
10–12 m/s,FIDAS 200,1.1979,,0
10–12 m/s,FIDAS 200,1.2872,,0
10–12 m/s,FIDAS 200,1.3833,,0
10–12 m/s,FIDAS 200,1.4865,,0
10–12 m/s,FIDAS 200,1.5974,,0
10–12 m/s,FIDAS 200,1.7165,,0
10–12 m/s,FIDAS 200,1.8446,,0
10–12 m/s,FIDAS 200,1.9822,,0
10–12 m/s,FIDAS 200,2.1301,,0
10–12 m/s,FIDAS 200,2.2891,,0
10–12 m/s,FIDAS 200,2.4598,,0
10–12 m/s,FIDAS 200,2.6434,,0
10–12 m/s,FIDAS 200,2.8406,,0
