Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
< 4 m/s,FIDAS 200,0.10373,0.0,1476
< 4 m/s,FIDAS 200,0.111469,0.0,1476
< 4 m/s,FIDAS 200,0.119786,0.0,1476
< 4 m/s,FIDAS 200,0.128723,0.0,1476
< 4 m/s,FIDAS 200,0.138327,0.0,1476
< 4 m/s,FIDAS 200,0.148647,0.0,1476
< 4 m/s,FIDAS 200,0.159737,3.3744771753633933,1476
< 4 m/s,FIDAS 200,0.171655,192.23128575639728,1476
< 4 m/s,FIDAS 200,0.184462,712.8556316642955,1476
< 4 m/s,FIDAS 200,0.198224,906.7180768617721,1476
< 4 m/s,FIDAS 200,0.213013,740.7057202804459,1476
< 4 m/s,FIDAS 200,0.228905,606.3350232592388,1476
< 4 m/s,FIDAS 200,0.245984,530.6319367685671,1476
< 4 m/s,FIDAS 200,0.264336,477.90118416249226,1476
< 4 m/s,FIDAS 200,0.284057,396.48994601996213,1476
< 4 m/s,FIDAS 200,0.30525,174.93348943550296,1476
< 4 m/s,FIDAS 200,0.328024,52.029304671629234,1476
< 4 m/s,FIDAS 200,0.352497,25.325542657670862,1476
< 4 m/s,FIDAS 200,0.378797,12.730385745190702,1476
< 4 m/s,FIDAS 200,0.407058,8.729094793030622,1476
< 4 m/s,FIDAS 200,0.437427,7.105875266925507,1476
< 4 m/s,FIDAS 200,0.470063,6.700219057234715,1476
< 4 m/s,FIDAS 200,0.505133,6.615815142995111,1476
< 4 m/s,FIDAS 200,0.54282,5.073558879266729,1476
< 4 m/s,FIDAS 200,0.583319,4.101027193455033,1476
< 4 m/s,FIDAS 200,0.626839,3.30708813480772,1476
< 4 m/s,FIDAS 200,0.673606,3.0661022388515144,1476
< 4 m/s,FIDAS 200,0.723862,3.0253789082580784,1476
< 4 m/s,FIDAS 200,0.777868,2.796315194382051,1476
< 4 m/s,FIDAS 200,0.835903,2.7664885707158904,1476
< 4 m/s,FIDAS 200,0.898268,2.4790362462809465,1476
< 4 m/s,FIDAS 200,0.965286,2.468484977818861,1476
< 4 m/s,FIDAS 200,1.037304,2.156573983142013,1476
< 4 m/s,FIDAS 200,1.114695,2.1223102791447093,1476
< 4 m/s,FIDAS 200,1.19786,1.9671446255599447,1476
< 4 m/s,FIDAS 200,1.28723,1.8986829256136633,1476
< 4 m/s,FIDAS 200,1.383267,1.7593941656969676,1476
< 4 m/s,FIDAS 200,1.48647,1.5197139009164549,1476
< 4 m/s,FIDAS 200,1.597372,1.4409609730890298,1476
< 4 m/s,FIDAS 200,1.716548,1.195260331651223,1476
< 4 m/s,FIDAS 200,1.844616,1.0263916389454237,1476
< 4 m/s,FIDAS 200,1.982239,0.8810140944058867,1476
< 4 m/s,FIDAS 200,2.13013,0.8074820645024114,1476
< 4 m/s,FIDAS 200,2.289054,0.7060967146819768,1476
< 4 m/s,FIDAS 200,2.459835,0.6548540896108496,1476
< 4 m/s,FIDAS 200,2.643358,0.5839157630112433,1476
< 4 m/s,FIDAS 200,2.840573,0.5406172793416614,1476
< 4 m/s,FIDAS 200,3.052502,0.49861684313970894,1476
< 4 m/s,FIDAS 200,3.280243,0.47792671094976996,1476
< 4 m/s,FIDAS 200,3.524975,0.42802341306952113,1476
< 4 m/s,FIDAS 200,3.787966,0.36745121198102465,1476
< 4 m/s,FIDAS 200,4.070578,0.3158262095890391,1476
< 4 m/s,FIDAS 200,4.374274,0.2951365003744423,1476
< 4 m/s,FIDAS 200,4.700629,0.24998631904984667,1476
< 4 m/s,FIDAS 200,5.051333,0.20424446705892246,1476
< 4 m/s,FIDAS 200,5.428202,0.19125133752546636,1476
< 4 m/s,FIDAS 200,5.833189,0.1677611824156331,1476
< 4 m/s,FIDAS 200,6.26839,0.15132222220017771,1476
< 4 m/s,FIDAS 200,6.736061,0.13157037655584605,1476
< 4 m/s,FIDAS 200,7.238624,0.11589037673608402,1476
< 4 m/s,FIDAS 200,7.778682,0.09700367086813341,1476
< 4 m/s,FIDAS 200,8.359033,0.08586294474899282,1476
< 4 m/s,FIDAS 200,8.982682,0.07597461238721251,1476
< 4 m/s,FIDAS 200,9.652861,0.0667812633719713,1476
< 4 m/s,FIDAS 200,10.373039,0.05183285722337171,1476
< 4 m/s,FIDAS 200,11.146949,0.04909095297823984,1476
< 4 m/s,FIDAS 200,11.978599,0.045593414575521615,1476
< 4 m/s,FIDAS 200,12.872296,0.03724935371535033,1476
< 4 m/s,FIDAS 200,13.83267,0.03138690264435334,1476
< 4 m/s,FIDAS 200,14.864696,0.026323615192416275,1476
< 4 m/s,FIDAS 200,15.973718,0.02437790229995224,1476
