Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
8–10 m/s,FIDAS 200,0.10373,0.0,27
8–10 m/s,FIDAS 200,0.111469,0.0,27
8–10 m/s,FIDAS 200,0.119786,0.0,27
8–10 m/s,FIDAS 200,0.128723,0.0,27
8–10 m/s,FIDAS 200,0.138327,0.0,27
8–10 m/s,FIDAS 200,0.148647,0.0,27
8–10 m/s,FIDAS 200,0.159737,4.30086029676967,27
8–10 m/s,FIDAS 200,0.171655,237.2718856978197,27
8–10 m/s,FIDAS 200,0.184462,874.6897638343953,27
8–10 m/s,FIDAS 200,0.198224,1116.2196733739013,27
8–10 m/s,FIDAS 200,0.213013,900.6405640654486,27
8–10 m/s,FIDAS 200,0.228905,733.6554324619437,27
8–10 m/s,FIDAS 200,0.245984,642.829095555338,27
8–10 m/s,FIDAS 200,0.264336,578.2634087035025,27
8–10 m/s,FIDAS 200,0.284057,439.2625650605214,27
8–10 m/s,FIDAS 200,0.30525,184.51919862351818,27
8–10 m/s,FIDAS 200,0.328024,58.48663775865602,27
8–10 m/s,FIDAS 200,0.352497,27.53263250328561,27
8–10 m/s,FIDAS 200,0.378797,14.383000494317555,27
8–10 m/s,FIDAS 200,0.407058,9.76203642246004,27
8–10 m/s,FIDAS 200,0.437427,8.337399073694097,27
8–10 m/s,FIDAS 200,0.470063,8.165942529656883,27
8–10 m/s,FIDAS 200,0.505133,6.8606563873303585,27
8–10 m/s,FIDAS 200,0.54282,5.574475184378106,27
8–10 m/s,FIDAS 200,0.583319,4.298118418577158,27
8–10 m/s,FIDAS 200,0.626839,3.5977058973388742,27
8–10 m/s,FIDAS 200,0.673606,3.060524946226767,27
8–10 m/s,FIDAS 200,0.723862,3.2057961280077127,27
8–10 m/s,FIDAS 200,0.777868,2.922613558815387,27
8–10 m/s,FIDAS 200,0.835903,2.7826940763032724,27
8–10 m/s,FIDAS 200,0.898268,2.610128343178855,27
8–10 m/s,FIDAS 200,0.965286,2.658110867708062,27
8–10 m/s,FIDAS 200,1.037304,2.284171336476036,27
8–10 m/s,FIDAS 200,1.114695,2.160397295971581,27
8–10 m/s,FIDAS 200,1.19786,2.226814017710024,27
8–10 m/s,FIDAS 200,1.28723,2.152511028475986,27
8–10 m/s,FIDAS 200,1.383267,1.9421639251712388,27
8–10 m/s,FIDAS 200,1.48647,1.659876212607717,27
8–10 m/s,FIDAS 200,1.597372,1.4956421933172948,27
8–10 m/s,FIDAS 200,1.716548,1.3018800177067487,27
8–10 m/s,FIDAS 200,1.844616,1.1536476915571594,27
8–10 m/s,FIDAS 200,1.982239,0.945593734601264,27
8–10 m/s,FIDAS 200,2.13013,0.8035202104265813,27
8–10 m/s,FIDAS 200,2.289054,0.5940436442280673,27
8–10 m/s,FIDAS 200,2.459835,0.8565385665706537,27
8–10 m/s,FIDAS 200,2.643358,0.5562355831722157,27
8–10 m/s,FIDAS 200,2.840573,0.48449582971529004,27
8–10 m/s,FIDAS 200,3.052502,0.5483809435176825,27
8–10 m/s,FIDAS 200,3.280243,0.38445628121875375,27
8–10 m/s,FIDAS 200,3.524975,0.42655590865155446,27
8–10 m/s,FIDAS 200,3.787966,0.39010798954325904,27
8–10 m/s,FIDAS 200,4.070578,0.32683546682515063,27
8–10 m/s,FIDAS 200,4.374274,0.2559688728405905,27
8–10 m/s,FIDAS 200,4.700629,0.320782486169776,27
8–10 m/s,FIDAS 200,5.051333,0.2328235321419403,27
8–10 m/s,FIDAS 200,5.428202,0.15679027653228744,27
8–10 m/s,FIDAS 200,5.833189,0.16489625907565147,27
8–10 m/s,FIDAS 200,6.26839,0.14760745843314607,27
8–10 m/s,FIDAS 200,6.736061,0.23305133503855638,27
8–10 m/s,FIDAS 200,7.238624,0.14554468147968114,27
8–10 m/s,FIDAS 200,7.778682,0.14054586625751092,27
8–10 m/s,FIDAS 200,8.359033,0.0672512916377395,27
8–10 m/s,FIDAS 200,8.982682,0.07262059319180614,27
8–10 m/s,FIDAS 200,9.652861,0.05090041129314133,27
8–10 m/s,FIDAS 200,10.373039,0.08184090931975378,27
8–10 m/s,FIDAS 200,11.146949,0.015333182682134081,27
8–10 m/s,FIDAS 200,11.978599,0.021422305687726073,27
8–10 m/s,FIDAS 200,12.872296,0.08145168030344545,27
8–10 m/s,FIDAS 200,13.83267,0.02842218231136532,27
8–10 m/s,FIDAS 200,14.864696,0.08550150164834712,27
